time,nodeId,cpu,ram,bandwidth,energy,runningTasks,active,degraded,linkUp,linkBandwidthMbps,linkLatencyMs,linkPacketLoss,underAttack,willFailSoon
79.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
80.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
80.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
80.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
81.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
81.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
81.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
82.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
82.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
82.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
83.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
83.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
