nodeId,time,predicted_failure_risk,prediction_uncertainty
4,78.100000,0.080385,0.000000
5,78.100000,0.080386,0.000000
6,78.100000,0.049096,0.000000
7,78.100000,0.014563,0.000000
8,78.100000,0.014590,0.000000
9,78.100000,0.014576,0.000000
0,79.100000,0.080367,0.000000
1,79.100000,0.014571,0.000000
2,79.100000,0.042553,0.000000
3,79.100000,0.059833,0.000000
4,79.100000,0.080386,0.000000
5,79.100000,0.080386,0.000000
6,79.100000,0.049096,0.000000
7,79.100000,0.014557,0.000000
8,79.100000,0.014576,0.000000
9,79.100000,0.014567,0.000000
0,80.100000,0.014523,0.000000
1,80.100000,0.042553,0.000000
2,80.100000,0.059842,0.000000
3,80.100000,0.080386,0.000000
4,80.100000,0.049287,0.000000
5,80.100000,0.014559,0.000000
6,80.100000,0.080367,0.000000
7,80.100000,0.059833,0.000000
8,80.100000,0.059833,0.000000
9,80.100000,0.059833,0.000000
0,81.100000,0.014523,0.000000
1,81.100000,0.042553,0.000000
2,81.100000,0.129944,0.000000
3,81.100000,0.080385,0.000000
4,81.100000,0.049291,0.000000
5,81.100000,0.014570,0.000000
6,81.100000,0.080366,0.000000
7,81.100000,0.059833,0.000000
8,81.100000,0.059833,0.000000
9,81.100000,0.059833,0.000000
0,82.100000,0.014524,0.000000
1,82.100000,0.042553,0.000000
2,82.100000,0.059833,0.000000
3,82.100000,0.080386,0.000000
4,82.100000,0.049277,0.000000
5,82.100000,0.014572,0.000000
6,82.100000,0.080366,0.000000
7,82.100000,0.059833,0.000000
8,82.100000,0.059833,0.000000
9,82.100000,0.059833,0.000000
0,83.100000,0.014524,0.000000
1,83.100000,0.042553,0.000000
2,83.100000,0.059833,0.000000
3,83.100000,0.080386,0.000000
4,83.100000,0.049283,0.000000
5,83.100000,0.014567,0.000000
6,83.100000,0.080366,0.000000
7,83.100000,0.059833,0.000000
8,83.100000,0.059833,0.000000
9,83.100000,0.059833,0.000000
0,84.100000,0.014525,0.000000
1,84.100000,0.042553,0.000000
2,84.100000,0.059833,0.000000
3,84.100000,0.080385,0.000000
4,84.100000,0.049280,0.000000
5,84.100000,0.014561,0.000000
6,84.100000,0.080366,0.000000
7,84.100000,0.059833,0.000000
8,84.100000,0.059833,0.000000
9,84.100000,0.059833,0.000000
0,85.100000,0.014526,0.000000
1,85.100000,0.042553,0.000000
2,85.100000,0.059833,0.000000
3,85.100000,0.080386,0.000000
4,85.100000,0.049284,0.000000
5,85.100000,0.014549,0.000000
6,85.100000,0.080369,0.000000
7,85.100000,0.059833,0.000000
8,85.100000,0.059833,0.000000
9,85.100000,0.059833,0.000000
0,86.100000,0.014527,0.000000
1,86.100000,0.042553,0.000000
2,86.100000,0.059833,0.000000
3,86.100000,0.080386,0.000000
4,86.100000,0.049292,0.000000
5,86.100000,0.014549,0.000000
6,86.100000,0.080396,0.000000
7,86.100000,0.059833,0.000000
8,86.100000,0.059833,0.000000
9,86.100000,0.059833,0.000000
0,87.100000,0.014528,0.000000
1,87.100000,0.042553,0.000000
2,87.100000,0.059833,0.000000
3,87.100000,0.080386,0.000000
4,87.100000,0.049289,0.000000
5,87.100000,0.014561,0.000000
6,87.100000,0.080375,0.000000
